Código,Nome,Histórico,Foto,Autor,Inauguração,Localização,Latitude,Longitude
150,"Cascata de Burle Marx","Após as obras do Metrô do Rio de Janeiro, a praça recebeu um novo tratamento paisagístico, com a implantação do projeto de Burle Max, com a cascata em calhas de concreto aparente e jorros verticais num jardim aquático.","http://riomonumentos.com/cadastro/uploads/cascata-de-burle-marx.jpg","Burle Max","1981","Largo da Carioca, Rio de Janeiro - RJ","",""
151,"Chafariz das Três Velas","É um chafariz composto por três estruturas de concreto armado de tamanhos diferentes. Quando o chafariz funciona, a água sai do topo das estruturas como se estivesse acendendo uma vela.","http://riomonumentos.com/cadastro/uploads/chafariz-das-tres-velas.jpg","Renato Primavera Marinho","1992","Parque Noronha Santos, Rio de Janeiro - RJ","",""
152,"Grande Arco","A marca do Sambódromo é o arco localizado na extremidade sul, na Praça da Apoteose.","http://riomonumentos.com/cadastro/uploads/grande-arco.jpg","Oscar Niemeyer","1984","Rua Marquês de Sapucaí, Rio de Janeiro - RJ","",""
153,"Evandro Lins e Silva","O busto foi uma homenagem do IBMEC ao ilustre jurista, na comemoração da adoção da Praça IV de Julho e do novo espaço revitalizado.","http://riomonumentos.com/cadastro/uploads/evandro-lins-e-silva.jpg","Ceschiatti","10 de outubro de 2007","Praça Santander, Rio de Janeiro - RJ","",""
154,"Imperatriz Tereza Cristina","A homenagem à Imperatriz foi o resultado entre a Prefeitura do Rio e o Consulado da Itália. Faz parte das comemorações dos 200 anos da vinda da Família Real portuguesa para o Brasil.","http://riomonumentos.com/cadastro/uploads/imperatriz-tereza-cristina.jpg","José Luiz Ribeiro","29 de novembro de 2008","Praça Itália, Rio de Janeiro - RJ","",""
155,"Chafariz do Museu Histórico Nacional","O chafariz faz parte do conjunto paisagístico desenvolvido para a antiga Praça Marechal Âncora.","http://riomonumentos.com/cadastro/uploads/chafariz-do-museu-historico-nacional.jpg","Escritório Burle Marx & Cia. Ltda","2003","Praça Marechal Âncora, Rio de Janeiro - RJ","",""
156,"Vênus Reclinado","Peça de aço corte, uma expressão do corpo como forma de vencer a instabilidade e o peso.","http://riomonumentos.com/cadastro/uploads/venus-reclinado.jpg","Zé Resende","peça de 1991 e data de inauguracao desconhecida","Rua do Rosário, Rio de Janeiro - RJ","",""
157,"Elevando-se","Peça de aço corte, com cortes retos.","http://riomonumentos.com/cadastro/uploads/elevando-se.jpg","Zé Resende","2005","Rua do Rosário, Rio de Janeiro - RJ","",""
158,"O Portal ","A obra é uma cessão de uso da família do artista à cidade do Rio de Janeiro.  A peça estava em Minas Gerais, no Instituto Amilcar de Castro, e a cessão foi patrocinada pela Galeria Silvia Cintra + BOX 4.","http://riomonumentos.com/cadastro/uploads/o-portal .jpg","Amilcar de Castro","13 de setembro de 2012","Praça Pio X, Rio de Janeiro - RJ","",""
159,"Cristiano Ottoni","O monumento foi erguido em praça pública, em frente à antiga estação ferroviária. Quando das reformas na área, o monumento foi transferido e está na fachada do prédio da Central do Brasil.","http://riomonumentos.com/cadastro/uploads/cristiano-ottoni.jpg","Rodolfo Bernadelli","inaugurado em 29 de março de 1908","Praça Cristiano Ottoni, Rio de Janeiro - RJ","",""
160,"Vasos ","São vasos de ferro fundido, um conjunto de 8 peças, instalados inicialmente na Praça Floriano. Depois das obras do Rio Cidade no Centro, estes foram transferidos para a Av. Presidente Vargas.","http://riomonumentos.com/cadastro/uploads/vasos .jpg","Emilio Gianelle","anos 70 do século XX, fundição Luporini","Avenida Presidente Vargas, Rio de Janeiro - RJ","",""
161,"Gradil do Campo de Santana","O gradil de ferro fundido foi instalado em todo o perímetro do parque, no mesmo modelo de outro histórico, o Passeio Público.","http://riomonumentos.com/cadastro/uploads/gradil-do-campo-de-santana.jpg","Fundição Zanatta Ltda.","1968","Campo de Santana, Rio de Janeiro - RJ","",""
162,"Gradil do Passeio Público","O gradil de ferro fundido foi instalado em todo o perímetro do parque, no mesmo modelo de outro histórico, o Campo de Santana.","http://riomonumentos.com/cadastro/uploads/gradil-do-passeio-publico.jpg","Fundição Zanatta Ltda .","1968","Passeio Público - Rua do Passeio - Rio de Janeiro","",""
163,"Entrada do Túnel João Ricardo","As suas obras foram iniciadas em 1919.  A sua abertura visava solucionar um dos problemas de tráfego à época na cidade: a comunicação entre a zona portuária e a Estação Central do Brasil.","http://riomonumentos.com/cadastro/uploads/entrada-do-tunel-joao-ricardo.jpg","desconhecido","1921","Gamboa, Rio de Janeiro - RJ","",""
164,"Lago ","O lago sinuoso contornando o parque é uma das características do jardim romântico, implantado no séc. XIX, sendo um dos elementos decorativos mais importantes.","http://riomonumentos.com/cadastro/uploads/lago(campo-de-santana).jpg","Glaziou","1888","Campo de Santana, Rio de Janeiro - RJ","",""
165,"Lago ","O lago sinuoso contornando o parque é uma das características do jardim romântico, implantado no séc. XIX, sendo um dos elementos decorativos mais importantes.","http://riomonumentos.com/cadastro/uploads/lago(passeio-publico).jpg","Glaziou","1888","Passeio Público - Rua do Passeio - Rio de Janeiro","",""
166,"Santa Bárbara","O painel de Santa Bárbara foi concebido em homenagem às vítimas de um desabamento durante os trabalhos de abertura do Túnel Santa Bárbara. Inicialmente, se situava numa capela localizada em uma gruta acima do túnel. Em 1984, devido às precárias condições, foi desmontado. Em 1990, quando foi restaurado pela Fundação Roberto Marinho, firmaram acordo entre o Governo do Estado e o Museu Nacional de Belas Artes, foi transferido.","http://riomonumentos.com/cadastro/uploads/santa-barbara.jpg","Djanira","1964","Museu Nacional de Belas Artes, Rio de Janeiro - RJ","",""
167,"Lago ","A praça foi o primeiro projeto de ajardinamento público feito por Burle Marx e o lago com plantas aquáticas, um dos elementos decorativos mais importantes.","http://riomonumentos.com/cadastro/uploads/lago(praca-salgado-filho).gif","Burle Marx","1952","Praça Salgado Filho, Rio de Janeiro - RJ","",""
168,"Murada  de Pedra","Foi construído pelo Intendente Paulo Fernandes Vianna para a contenção e construção do Chafariz Paulo Fernandes.","http://riomonumentos.com/cadastro/uploads/murada-de-pedra.jpg","desconhecido","1816","Rua Frei Caneca, Rio de Janeiro - RJ","",""
169,"Oratório da Nossa Senhora do Cabo  Boa Esperança","Construído em 1763, foi transferido em 1812 para a esquina seguinte, onde hoje se abre a Rua Sete de Setembro, retornando ao local original em 1924.","http://riomonumentos.com/cadastro/uploads/oratorio-da-nossa-senhora-do-cabo- boa-esperanca.gif","Mestre Alves Setúbal ","1763","Rua do Carmo, 38, Centro, Rio de Janeiro","",""
170,"Sérgio Cardoso","Trata-se de uma homenagem ao ator brasileiro que fez grande sucesso na televisão nos anos 70 do séc. XX.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Maylota","1973","Largo do Guimarães, Rio de Janeiro - RJ","",""
171,"Fonte do Chororó","Trata-se de um reservatório de água para captação de água natural. É um dos poucos que ainda mantém a inscrição PN (Patrimônio Nacional).","http://riomonumentos.com/cadastro/uploads/fonte-do-chororo.jpg","desconhecido","desconhecido","Rua Almirante Alexandrino, Rio de Janeiro - RJ","",""
172,"Murada e Gradil","Trata-se de uma murada e um guarda corpo de ferro fundido, na rua Almirante Alexandrino, na  trilha que acompanhava os canos do Aqueduto da Carioca. O largo foi aberto em 1857.","http://riomonumentos.com/cadastro/uploads/murada-e-gradil.JPG","desconhecido","desconhecido","Largo dos Guimarães, Rio de Janeiro - RJ","",""
173,"Murada ","Sua construção ocorreu em decorrência de sucessivos desmoronamentos na encosta. No séc. XIX, a rua Aprazível era um importante logradouro para o escoamento de diversos gêneros.","http://riomonumentos.com/cadastro/uploads/murada.jpg","desconhecido","1859","Rua Aprazível, Rio de Janeiro - RJ","",""
174,"Piso em Pé-de-Moleque","Pavimentação típica das cidades brasileiras a partir do séc. XVIII. É um dos locais onde ainda se preserva a originalidade.","http://riomonumentos.com/cadastro/uploads/piso-em-pe-de-moleque.gif","desconhecido","século XIX","Rua Santo Alfredo (que desce do Largo das Neves), Rio de Janeiro - RJ","",""
175,"Piso Costanera","Os barbeiros, a partir de meados do séc. XVIII, em uma passagem recentemente aberta, que ia da rua Direita (Primeiro de Março) até a do Carmo. Foi aberto no período colonial pela Ordem Terceira do Carmo. É calçado com blocos de pedra, com a calha no centro para o escoamento das águas.","http://riomonumentos.com/cadastro/uploads/piso-costanera.jpg","desconhecido","século XVIII, começa a abertura em 1752 por ordem da Câmara Municipal","Beco dos Barbeiros, Rio de Janeiro - RJ","",""
176,"Arco do Teles","Trata-se para comunicar a antiga Praça do Carmo (atual Praça XV de Novembro) e a rua da Cruz (atual rua do Ouvidor). O nome pelo qual é conhecido deve a sua origem aos Teles de Meneses, proprietários de prédios no local. Em 1790, um incêndio destruiu a maior parte da casa dos Teles de Meneses, restando apenas a parte que hoje constitui o Arco do Teles.","http://riomonumentos.com/cadastro/uploads/arco-dos-teles.jpg","projeto do brigadeiro José Fernandes Pinto Alpoim","século XVIII","Praça XV, Rio de Janeiro - RJ","",""
177,"Piso Costanera","Nome adotado a partir de 1767, quando da chegada do regimento Bragança, que ocupou os quartéis de São Bento, localizado nessa rua. O piso em blocos de pedra e a largura da caixa da rua caracterizam a ruela.","http://riomonumentos.com/cadastro/uploads/piso-costanera(beco-dos-bragancas).jpg","desconhecido","desconhecido","Beco dos Braganças, Rio de Janeiro - RJ","",""
178,"Pax (Paz)","Trata-se de uma coluna em mármore rosa de Verona, onde suportam quatro arandelas com a escultura em bronze representando a Paz.","http://riomonumentos.com/cadastro/uploads/pax(paz).jpg","Mário Matos","desconhecido","Praça Marechal Floriano, Rio de Janeiro - RJ","",""
179,"Piso de Costanera","Este beco é a rua mais estreita da cidade e se situa entre a Rua do Rosário e a Rua do Ouvidor. Tem este nome porque havia na rua duas cancelas que a fechavam a noite.","http://riomonumentos.com/cadastro/uploads/piso-de-costanera(beco-das-cancelas).jpg","desconhecido","desconhecido","Beco das Cancelas, Rio de Janeiro - RJ","",""
180,"Piso de Costanera","Este beco se localiza entre as ruas Primeiro de Março e do Carmo. Foi aberta por exigência da Câmara dos Vereadores.  O nome se deve a presença de barbeiros no local.","http://riomonumentos.com/cadastro/uploads/piso-de-costanera(beco-dos-barbeiros).jpg","desconhecido","desconhecido","Beco dos Barbeiros, Rio de Janeiro - RJ","",""
181,"Portão do Matadouro","Trata-se do pórtico do antigo matadouro da cidade, uma construção neoclássica.  A instalação desta construção tornou a área como Largo do Matadouro, que se tornou o fator de adensamento das cercanias. Em 1881, foi transferido para Santa Cruz.","http://riomonumentos.com/cadastro/uploads/portao-do-matadouro.jpg","desconhecido","1853","Praça da Bandeira, Rio de Janeiro - RJ","",""
182,"Esculturas do Chafariz do Monroe","Trata-se de grupo escultórico de carrara, reprodução das peças executadas por Cleve, Lepingola, Poutier e Gros, do Jardim de Versalhes, adquiridos da família Guinle e doadas para a decoração deste monumento.","http://riomonumentos.com/cadastro/uploads/esculturas-do-chafariz-do-monroe.jpg","desconhecido","1928","Praça do Monroe, Rio de Janeiro - RJ","",""
183,"Coronel Assunção","A homenagem trata-se de um busto em bronze do coronel, tendo cada lado do pedestal um canhão em bronze e de um lado tem um cão em posição de guarda, também em bronze e em tamanho natural. Este cão é o símbolo da antiga polícia militar, o conhecido Brutos, que pertenceu ao coronel.","http://riomonumentos.com/cadastro/uploads/coronel-assuncao.jpg","Ruffo Fanucchi","1954","Praça Coronel Assunção, Rio de Janeiro (Praça da Harmonia)","",""
184,"Coreto ","O coreto é uma estrutura em concreto no embasamento e pilares de madeira, porém sem cobertura. Em 2012, foi instalado um telhado de telhas francesas.","http://riomonumentos.com/cadastro/uploads/coreto .jpg","desconhecido","1978","Praça Coronel Assunção, Rio de Janeiro (Praça da Harmonia)","",""
185,"Chafariz da Mulher e o Menino","Este chafariz adornava uma estação de tratamento de água, no Bairro do Engenho, e foi doado à cidade do Rio de Janeiro e instalado nessa praça.","http://riomonumentos.com/cadastro/uploads/chafariz-da-mulher-e-o-menino.jpg","Henri-Frédéric Iselin","1963","Praça do Santo Cristo, Rio de Janeiro - RJ","",""
186,"Painel dos Direitos Humanos","O painel é um projeto social idealizado pela artista plástica francesa, cujo principal objetivo é divulgar a Declaração Universal dos Direitos Humanos em diversas cidades do mundo.","http://riomonumentos.com/cadastro/uploads/Painel Direitos Humanos - Morro.jpg","Françoise Schein","2005","Morro da Providência, Rio de Janeiro - RJ","",""
187,"Oratório ","Este oratório se assemelha às torres religiosas barrocas. Construído pelas mulheres dos soldados retornados de Canudos que se instalaram no Morro da Providência, dando origem a nossa primeira favela. Ali, entronizaram a imagem do Cristo.","http://riomonumentos.com/cadastro/uploads/oratorio.gif","desconhecido","1901","Morro da Providência, Rio de Janeiro - RJ","",""
188,"Escadaria ","Trata-se de uma construção que segue a inclinação natural do terreno, onde o calçamento é de blocos de granito e de paralelepípedo, sendo uma referência do bairro e da presença de Machado de Assis.","http://riomonumentos.com/cadastro/uploads/2-7-002.gif","desconhecido","desconhecido","Ladeira do Livramento, Rio de Janeiro - RJ","",""
189,"Ceres ","A escultura foi instalada no Cais, onde desembarcaria a Imperatriz Tereza Cristina. De estilo neoclássica em mármore de carrara, é uma do conjunto de quatro esculturas que são as primeiras peças em área pública da cidade. Foi transferida para o Jardim do Valongo quando de sua construção por Pereira Passos.","http://riomonumentos.com/cadastro/uploads/ceres.jpg","desconhecido","27 de janeiro de 1843 na atual Praça Barão de Tefé e em 1906 no Jardim do Valongo","Jardim do Valongo, Rio de Janeiro - RJ","",""
190,"Marte ","A escultura foi instalada no Cais, onde desembarcaria a Imperatriz Tereza Cristina. De estilo neoclássica em mármore de carrara, é uma do conjunto de quatro esculturas que são as primeiras peças em área pública da cidade. Foi transferida para o Jardim do Valongo quando de sua construção por Pereira Passos.","http://riomonumentos.com/cadastro/uploads/marte.jpg","desconhecido","27 de janeiro de 1843 na atual Praça Barão de Tefé e em 1906 no Jardim do Valongo","Jardim do Valongo, Rio de Janeiro - RJ","",""
191,"Mercúrio","A escultura foi instalada no Cais, onde desembarcaria a Imperatriz Tereza Cristina. De estilo neoclássica em mármore de carrara, é uma do conjunto de quatro esculturas que são as primeiras peças em área pública da cidade. Foi transferida para o Jardim do Valongo quando de sua construção por Pereira Passos.","http://riomonumentos.com/cadastro/uploads/mercurio.jpg","desconhecido","27 de janeiro de 1843 na atual Praça Barão de Tefé e em 1906 no Jardim do Valongo","Jardim do Valongo, Rio de Janeiro - RJ","",""
192,"Vênus ","A escultura foi instalada no Cais, onde desembarcaria a Imperatriz Tereza Cristina. De estilo neoclássica em mármore de carrara, é uma do conjunto de quatro esculturas que são as primeiras peças em área pública da cidade. Foi transferida para o Jardim do Valongo quando de sua construção por Pereira Passos.","http://riomonumentos.com/cadastro/uploads/venus.jpg","desconhecido","27 de janeiro de 1843 na atual Praça Barão de Tefé e em 1906 no Jardim do Valongo","Jardim do Valongo, Rio de Janeiro - RJ","",""
193,"Cascata do Jardim do Valongo","Trata-se de um trabalho em rocaille, construção de argamassa imitando pedras naturais, típico dos jardins românticos, construída no conjunto de todo o Jardim Suspenso do Valongo.","http://riomonumentos.com/cadastro/uploads/Cascata Jardim do Valongo-1.jpg","Luis Reis ","1906","Jardim do Valongo, Rio de Janeiro - RJ","",""
194,"Pedra do Sal","É um monumento histórico e religioso. O talho de uma rocha formando uma escada, executado por escravos para acesso a moradias.","http://riomonumentos.com/cadastro/uploads/5-12.jpg","desconhecido","século XVII","Rua Argemiro Bulção - Rio de Janeiro - RJ","",""
195,"Murada do Jardim do Valongo","Trata-se de uma murada de bloco de pedra revestida com argamassa, nela está inscrito em mármore a inauguracao do espaço.","http://riomonumentos.com/cadastro/uploads/murada-do-jardim-do-valongo.jpg","Luis Rei","1906","Rua Camerino, Rio de Janeiro - RJ","",""
196,"Nossa Senhora da Conceição","Esta imagem de N. S. da Conceição, em praça pública, foi realizada pela empresa Irmãos Bernadelli através de contribuição dos moradores dos bairros.","http://riomonumentos.com/cadastro/uploads/nossa-senhora-da-conceicao.jpg","desconhecido","1954","Praça Major Valo, Rio de Janeiro - RJ","",""
197,"Escadaria ","Escadaria em blocos maciços de gnaisse originais.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Luis Rei","1906","Jardim do Valongo, Rio de Janeiro - RJ","",""
200,"Contenção de Pedra","Foi construído pelo Intendente Paulo Fernandes Vianna para a contenção e construção do Chafariz Paulo Fernandes.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","1816","Rua Frei Caneca, Rio de Janeiro - RJ","",""
202,"Labor (Trabalho) ","Trata-se de uma coluna em mármore rosa de Verona, onde suportam quatro arandelas com a escultura em bronze representando a Paz.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","Mário Matos","desconhecido","Praça Marechal Floriano, Rio de Janeiro - RJ","",""
203,"Princesa Isabel","A estátua em homenagem à princesa foi comemorativa aos 115 anos da abolição da escravidão no Brasil.","http://riomonumentos.com/cadastro/uploads/princesa-isabel.jpg","Edgar Duvivier","13 de maio de 2003","Av Princesa Isabel, Rio de Janeiro - RJ","",""
204,"Coelho Cintra","O busto foi uma homenagem dos moradores do bairro ao pai de Copacabana.","http://riomonumentos.com/cadastro/uploads/coelho-cintra.JPG","Laurindo Ramos","1958","Av Princesa Isabel , Rio de Janeiro - RJ","",""
205,"Chafarizes de Jorro Central (conjunto de 9 chafarizes separados)","Este conjunto foi o primeiro construído na cidade com lago seco, isto é, o jorro saindo de uma cisterna abaixo do nível do piso coberto.","http://riomonumentos.com/cadastro/uploads/chafarizes-de-jorro-central-(-conjunto-de-9-chafarizes-separados).jpg","Eng. Miguel Pena Sattaminu de Arruda","28 de maio de 2006","Av. Princesa Isabel, Rio de Janeiro - RJ","",""
206,"Visconde do Rio Branco","Esta homenagem foi erguida por uma subscrição pública que ficou a cargo da Viscondessa. Após sua morte, foi erguido o monumento.","http://riomonumentos.com/cadastro/uploads/visconde-do-rio-branco.jpg","Felix Charpentier","13 de maio de 1902 na Praça da Glória e em 1996 nesta praça","Praça Demétrio Ribeiro, Rio de Janeiro - RJ","",""
207,"Baleia","A escultura foi uma doação da empresa João Fortes Engenharia para a reurbanização da Praça Mauá.","http://riomonumentos.com/cadastro/uploads/baleia.jpg","Angelo Venosa","1988 na Praça Mauá e em 1998 na Av. Atlântica","Av Atlântica, Rio de Janeiro - RJ","",""
208,"Siqueira Campos","O monumento é o reconhecimento aos 18 combatentes que em 6 de julho de 1922, sob o comando do tenente Antônio de Siqueira Campos, saíram em marcha pela Avenida Atlântica, numa posição de revoltados quanto ao comando.","http://riomonumentos.com/cadastro/uploads/siqueira-campos.jpg","José Rangel","5 de julho em 1974","Av. Atlântica, Rio de Janeiro - RJ","",""
209,"Ibrahim Medina","O busto foi uma homenagem de amigos ao carioca.","http://riomonumentos.com/cadastro/uploads/ibrahim-medina.jpg","Porão D'Arte","1996","Av Atlantica, Rio de Janeiro - RJ","",""
210,"Iemanjá","A escultura foi inaugurada para os festejos de Iemanjá numa referência ao culto religioso carioca.","http://riomonumentos.com/cadastro/uploads/iemanja .jpg","Luiz Figueiredo","29 de dezembro de 1988","Av. Atlântica, Rio de Janeiro - RJ","",""
211,"Marco da Duplicação de Copacabana","O marco é comemorativo da inauguracao das obras do alargamento da Avenida Atlântica no governo Negrão de Lima.","http://riomonumentos.com/cadastro/uploads/marco-da-duplicacao-de-copacabana.jpg","desconhecido","14 de março de 1971","Av. Atlântica, Rio de Janeiro - RJ","",""
212,"Ari Barroso (Busto)","O monumento foi erguido em homenagem ao autor da música Aquarela do Brasil.","http://riomonumentos.com/cadastro/uploads/ari-barrosao.jpg","Edson Jannuzzi","13 de abril de 1974","Av. Atlântica, Rio de Janeiro - RJ","",""
213,"Carlos Drummond de Andrade","O monumento foi instalado em comemoração ao centenário do nascimento do poeta.","http://riomonumentos.com/cadastro/uploads/carlos-drumont-de-andrade.jpg","Leo Santana","30 de outubro de 2002","Av. Atlântica, 4018 - Rio de Janeiro - RJ","",""
214,"Edmundo Bittencourt","O busto foi uma homenagem dos amigos ao fundador do jornal Correio da Manhã.","http://riomonumentos.com/cadastro/uploads/ edmundo-bittencourt.jpg","Leão Veloso","20 de maio de 1951","Praça Edmundo Bittencourt, Rio de Janeiro - RJ","",""
215,"Einstein","A homenagem foi uma doação à cidade no centenário do seu nascimento.","http://riomonumentos.com/cadastro/uploads/einstein.jpg","Honório Peçanha","14 de março de 1979","Praça Edmundo Bittencourt, Rio de Janeiro - RJ","",""
216,"Comendador Peixoto","A homenagem","http://riomonumentos.com/cadastro/uploads/comendador-peixoto.jpg","Honório Peçanha","18 de dezembro de 1968 ","Praça Edmundo Bittencourt, Rio de Janeiro - RJ","",""
217,"Chafariz da Praça","Trata-se de chafariz de concreto armado com uma estrutura arrojada e escorrimento de água pelos vértices da construção.","http://riomonumentos.com/cadastro/uploads/peixoto11.jpg","Francisco Bolonha","década de 60 (século XX)","Praça Edmundo Bittencourt, Rio de Janeiro - RJ","",""
218,"Vitória","É uma escultura abstrata em bronze.","http://riomonumentos.com/cadastro/uploads/vitoria .JPG","Mazeredo","10 de abril de 1992","Praça do Lido","",""
219,"Irmãos Bernadelli","Trata-se de uma dupla homenagem aos irmãos Rodolfo e Henrique Bernadelli no centenário de Rodolfo.","http://riomonumentos.com/cadastro/uploads/ irmaos-bernadelli.jpg","Leão Veloso","18 de setembro de 1952","Praça do Lido","",""
220,"Sara Kubitschek","O monumento foi uma iniciativa da Associação Cultural Sara Kubitschek, em homenagem a sua patrona, para a comemoração do marco de adoção da praça pela Associação.","http://riomonumentos.com/cadastro/uploads/sara-kubischek.JPG","Mazeredo","27 de junho de 1999  ","Av. Nossa Senhora de Copacabana, 1120","",""
221,"Júlio de Noronha","O monumento é uma homenagem a um herói da Guerra do Paraguai.","http://riomonumentos.com/cadastro/uploads/julio-de-noronha.JPG","A. Braga","11 de junho de 1980","Praça Julio de Noronha, Rio de Janeiro - RJ","",""
222,"Obelisco do Alargamento de Copacabana","Trata-se de um marco oferecido pelos moradores de Copacabana à cidade.","http://riomonumentos.com/cadastro/uploads/obelisco-do-alargamento-de-copacabana.jpg","desconhecido","02 de julho de 1919","Praça Julio de Noronha, Rio de Janeiro - RJ","",""
223,"Castelo Branco","A estátua do ex-presidente Castelo Branco foi uma homenagem do povo e do governo do estado.","http://riomonumentos.com/cadastro/uploads/castelo-branco.jpg","Dante Croce","20 de setembro de 1964","Praça Julio de Noronha, Rio de Janeiro - RJ","",""
224,"Serzedelo Correia","A homenagem em busto foi realizada em reconhecimento ao seu trabalho como engenheiro, no governo do prefeito Pereira Passos, num reconhecimento dos moradores de Copacabana.","http://riomonumentos.com/cadastro/uploads/ serzedelo-correia.jpg","Rodolfo Bernadelli","6 de novembro de 1910","Praça Serzedelo Correia, Rio de Janeiro - RJ","",""
225,"Grande Quartzo Rosa","Foi instalado na reurbanização da praça após a obra do Metrô-Rio para propagar boas energias.","http://riomonumentos.com/cadastro/uploads/grande-quartzo-rosa.JPG","desconhecido","1995","Praça Cardeal Arcoverde, Rio de Janeiro - RJ, Rio de Janeiro - RJ","",""
226,"Menora","Foi idealizado pelo Vereador Gerson Bergher e o local determinado pela proximidade à primeira sinagoga do Rio de Janeiro.","http://riomonumentos.com/cadastro/uploads/menora .gif","desconhecido ","1995","Praça Cardeal Arcoverde, Rio de Janeiro - RJ","",""
227,"Painel dos Direitos Humanos","O painel tem como objetivo divulgar a Declaração Universal dos Direitos Humanos em diversas cidades do mundo.","http://riomonumentos.com/cadastro/uploads/Painel Direitos Humanos - Metrô.jpg","Françoise Schein","2002","Praça da Estação Siqueira Campos, Rio de Janeiro - RJ","",""
228,"Braguinha","Foi uma doação à cidade pela Unisys do Brasil para homenagear um ídolo do carnaval carioca.","http://riomonumentos.com/cadastro/uploads/braguinha .jpg","Otto Dumovich","19 de fevereiro de 2005","Praça Demétrio Ribeiro , Rio de Janeiro - RJ","",""
229,"Oratório a São Pedro","Um novo oratório foi implantado nesta data pela prefeitura para homenagear o protetor dos pescadores na tradicional colônia de pesca do Posto 6 de Copacabana.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido","11 de dezembro de 2008","Avenida Atlântica, Rio de Janeiro - RJ","",""
230,"Dorival Caymmi","A homenagem a Dorival Caymmi foi uma solicitação da família à prefeitura da cidade, inspirada numa fotografia de Evandro Teixeira.","http://riomonumentos.com/cadastro/uploads/dorival-caymi.jpg","Otto Dumovich","11 de dezembro de 2008","Av. Atlântica, Rio de Janeiro - RJ","",""
231,"Ari Barroso (Estátua sentada)","Trata-se de uma solicitação dos moradores do bairro do Leme para homenagear o compositor que passou os últimos 40 anos no bairro.","http://riomonumentos.com/cadastro/uploads/ari-barroso.jpg","Leo Santana","19 de dezembro de 2003","Av. Atlântica, Rio de Janeiro - RJ","",""
232,"Bancos de Mosaico","Três bancos de concreto foram decorados, com quebras de azulejos, com desenhos formando um mosaico abstrato e colorido.","http://riomonumentos.com/cadastro/uploads/bancos-de-mosaico.jpg","Chica Granchi","2001","Av. Atlântica, Rio de Janeiro - RJ","",""
233,"Rei Alberto I","O monumento foi erguido em homenagem ao Rei que visitou o Brasil em 1920, num reconhecimento dos moradores de Copacabana.","http://riomonumentos.com/cadastro/uploads/rei-alberto-i.jpg","Laurindo Ramos","1922","Praça do Poeta, Rio de Janeiro - RJ","",""
234,"Arcos","Foi construído no período do vice-rei Marquês do Lavradio com objetivo de defender os invasores vindos da Zona Sul. ","http://riomonumentos.com/cadastro/uploads/arcos .jpg","desconhecido","executado no período de 1769 a 1779","Ladeira do Leme, Rio de Janeiro - RJ","",""
235,"Siqueira Campos","Trata-se de uma homenagem a uma das principais figuras do Levante dos 18 do Forte de 1922.","http://riomonumentos.com/cadastro/uploads/siqueira-campos.jpg","Bertazzoni","16 de julho de 1937","Praça Eugenio Franco, Rio de Janeiro - RJ","",""
236,"Ao Levante do Forte","Esse marco foi uma iniciativa para perpetuar a história da Revolta dos 18 do Forte de 1922.","http://riomonumentos.com/cadastro/uploads/ao-levante-do-forte.jpg","Honório Peçanha","05 de julho de 1944","Praça Eugenio Franco, Rio de Janeiro - RJ","",""
237,"Painel","Trata-se de uma reprodução do desenho de Millôr executado em azulejos para homenagear o frescobol.","http://riomonumentos.com/cadastro/uploads/painel- .jpg","Millôr Fernandes","1998","Av. Nossa Senhora de Copacabana, 1120","",""
238,"Mosaico de Pedra Portuguesa","Trata-se do maior mosaico do mundo, num desenho abstrato nas cores preta, branca e vermelha, simbolizando as três etnias que formaram o povo brasileiro.","http://riomonumentos.com/cadastro/uploads/mosaico-de-pedra-portuguesa.jpg","Roberto Burle Marx","desconhecido","Av. Atlântica, Rio de Janeiro - RJ","",""
239,"Relógio","Trata-se de uma construção com equipamento e de um relógio de quatro faces.","http://riomonumentos.com/cadastro/uploads/relogio .JPG","desconhecido ","1974","Rua Francisco Sá, 86, Copacabana, Rio de Janeiro - RJ","",""
240,"Castelo","Trata-se de uma construção de embelezamento do parque.","http://riomonumentos.com/cadastro/uploads/castelo .jpg","desconhecido ","1974","Rua Francisco Sá, 86, Copacabana, Rio de Janeiro - RJ","",""
241,"Relógio do Sol","É um relógio de origem milenar baseado no movimento do sol. Doado à cidade por Luiz Ernani Negrão.","http://riomonumentos.com/wp-content/themes/seconserva/img/THUMB_fotos.jpg","desconhecido ","19 de setembro de 1985","Parque Estadual da Chacrinha, Rio de Janeiro - RJ","",""
242,"Oratório","Trata-se da imagem da Santa envolta em um oratório fixado na pedra da encosta.","http://riomonumentos.com/cadastro/uploads/oratorio  .JPG","desconhecido ","5 de abril de 1973","Tunel Sá Freire, Rio de Janeiro - RJ","",""
